trial,route,mean,std,count,sem,ci_lower,ci_upper
1,Route A,-24.462561840686078,1.135412083342659,500,0.050777172016576846,-24.56208509783857,-24.363038583533587
2,Route A,-24.013348288502833,1.5823942778130298,500,0.07076682344793243,-24.15205126246078,-23.874645314544885
3,Route A,-23.500990938158367,1.8932234728309023,500,0.08466752763696248,-23.666939292326813,-23.33504258398992
4,Route A,-23.11818437028016,2.060320611311579,500,0.09214033884673226,-23.298779434419757,-22.937589306140566
5,Route A,-22.63876853978161,2.2883599741489307,500,0.10233856918373341,-22.839352135381727,-22.43818494418149
6,Route A,-22.32372995381222,2.2740656319558754,500,0.1016993067669871,-22.523060595075513,-22.124399312548924
7,Route A,-22.05401059312707,2.2697096183832826,500,0.10150449991780251,-22.252959412965964,-21.855061773288178
8,Route A,-21.73624612447496,2.3640054257705225,500,0.10572153662402442,-21.94346033625805,-21.52903191269187
9,Route A,-21.546093306665956,2.3521189748287896,500,0.1051899583776858,-21.75226562508622,-21.33992098824569
10,Route A,-21.27626911906631,2.341760157840692,500,0.10472669799864848,-21.48153344714366,-21.071004790988958
11,Route A,-21.125802547716308,2.417474276638907,500,0.10811273632843454,-21.33770351092004,-20.913901584512576
12,Route A,-21.120097795534484,2.361557129684143,500,0.1056120454944606,-21.327097404703625,-20.913098186365342
13,Route A,-21.16558161938099,2.2773219770469106,500,0.10184493494662215,-21.36519769187637,-20.96596554688561
14,Route A,-21.052360237561054,2.25659927104305,500,0.10091818736057463,-21.25015988478778,-20.854560590334327
15,Route A,-21.00961199673296,2.293294230393283,500,0.1025592358313489,-21.210628098962406,-20.808595894503515
16,Route A,-20.897376353233774,2.355149225056849,500,0.10532547528766131,-21.10381428479759,-20.69093842166996
17,Route A,-20.774993842410705,2.3356248774037,500,0.10445231991628572,-20.979720389446626,-20.570267295374784
18,Route A,-20.693278770020388,2.3739211447731905,500,0.10616498105873946,-20.901362132895517,-20.48519540714526
19,Route A,-20.70450424965483,2.382966839600125,500,0.10656951682947434,-20.9133805026406,-20.495627996669057
20,Route A,-20.663450756398777,2.3257114450254015,500,0.10400897774252126,-20.86730835277412,-20.459593160023434
21,Route A,-20.717578068846358,2.2662658312572472,500,0.10135048907552545,-20.916225027434386,-20.51893111025833
22,Route A,-20.616302865229454,2.261570164760623,500,0.10114049248580304,-20.81453823050163,-20.418067499957278
23,Route A,-20.545113919269763,2.220628314599421,500,0.09930951728410187,-20.739760573146604,-20.350467265392922
24,Route A,-20.531995352456295,2.1951626368866193,500,0.09817065755492335,-20.724409841263945,-20.339580863648646
25,Route A,-20.508943092570558,2.2437480220828263,500,0.10034346203515797,-20.705616278159468,-20.312269906981648
26,Route A,-20.435774984696124,2.2627624060921443,500,0.10119381113906037,-20.634114854528683,-20.237435114863565
27,Route A,-20.45501551775424,2.2726287544921955,500,0.10163504765330458,-20.65422021115472,-20.255810824353762
28,Route A,-20.503809328114556,2.2535136538801477,500,0.10078019436599886,-20.701338509071913,-20.3062801471572
29,Route A,-20.384228330705383,2.193636197674293,500,0.0981023931180777,-20.576509021216815,-20.191947640193952
30,Route A,-20.44361280830865,2.124230044753394,500,0.0949984555983202,-20.62980978128136,-20.25741583533594
31,Route A,-20.41324543482371,2.215647715171501,500,0.09908677810631135,-20.607455519912083,-20.21903534973534
32,Route A,-20.395427895491686,2.2160105672457737,500,0.09910300534438837,-20.589669785966688,-20.201186005016684
33,Route A,-20.426330544805094,2.200760543874341,500,0.09842100356604869,-20.61923571179455,-20.23342537781564
34,Route A,-20.38379513832185,2.213667066190699,500,0.0989982007910986,-20.577831611872405,-20.189758664771297
35,Route A,-20.412766618431814,2.2479465230405125,500,0.10053122470605766,-20.609807818855685,-20.215725418007942
36,Route A,-20.5339066636834,2.177243435864143,500,0.09736928652314854,-20.72475046526877,-20.34306286209803
37,Route A,-20.517546192351578,2.1776782674230883,500,0.09738873278163983,-20.70842810860359,-20.326664276099564
38,Route A,-20.560932929566018,2.0572483665124532,500,0.09200294388244494,-20.74125869957561,-20.380607159556426
39,Route A,-20.52578950145532,2.1361950538700487,500,0.09553354707304508,-20.71303525371849,-20.33854374919215
40,Route A,-20.531179621175614,2.119990709266067,500,0.09480886675173837,-20.71700500000902,-20.345354242342207
41,Route A,-20.46915764919571,2.190961719513615,500,0.0979827868186454,-20.661203911360257,-20.277111387031166
42,Route A,-20.43972291663494,2.236763217786486,500,0.10003109209083498,-20.635783857132974,-20.243661976136902
43,Route A,-20.515266546617042,2.268084521777498,500,0.10143182338819175,-20.714072920457898,-20.316460172776186
44,Route A,-20.5147037339728,2.1679098678607356,500,0.09695187667258383,-20.704729412251066,-20.324678055694537
