trial,route,mean,std,count,sem,ci_lower,ci_upper
1,Route A,0.3333333333333333,0.0,500,0.0,0.3333333333333333,0.3333333333333333
2,Route A,0.37689783875466293,0.08236634469768872,500,0.0036835349160442266,0.36967811031921627,0.3841175671901096
3,Route A,0.41518658002473235,0.11354068820143239,500,0.005077693940610223,0.4052342999011363,0.4251388601483284
4,Route A,0.4539425201496639,0.13536099074315297,500,0.006053527536068196,0.44207760617897024,0.4658074341203576
5,Route A,0.48171436261040623,0.1464047555463477,500,0.006547419712617455,0.468881419973676,0.49454730524713647
6,Route A,0.5165294432340557,0.1585820097502685,500,0.007092003076202696,0.5026291172046984,0.530429769263413
7,Route A,0.5394839876055397,0.1583694682807989,500,0.007082497932727261,0.5256022916573942,0.5533656835536852
8,Route A,0.5594031909519601,0.1568093925698748,500,0.0070127292259338095,0.5456582416691298,0.5731481402347904
9,Route A,0.5806022803643063,0.16341446020918432,500,0.007308116830683413,0.5662783713761668,0.5949261893524458
10,Route A,0.5932492632758859,0.16018598561123026,500,0.007163735057390281,0.5792083425634009,0.6072901839883709
11,Route A,0.6124443403005589,0.15864176893228846,500,0.007094675588068224,0.5985387761479453,0.6263499044531726
12,Route A,0.6221855881663014,0.16076595049805817,500,0.007189671875620484,0.6080938312900853,0.6362773450425175
13,Route A,0.6231994765742036,0.16041686466654523,500,0.0071740602826355845,0.6091383184202379,0.6372606347281693
14,Route A,0.6222515498339267,0.15332445152334065,500,0.006856877924381217,0.6088120691021396,0.6356910305657139
15,Route A,0.6309366330282579,0.15255097694871253,500,0.006822287089826493,0.6175649503321979,0.6443083157243178
16,Route A,0.6317414528383692,0.15410193707932368,500,0.006891648135475262,0.6182338224928378,0.6452490831839007
17,Route A,0.6389681664128197,0.15568463631871554,500,0.006962428597219611,0.6253218063622693,0.6526145264633701
18,Route A,0.6480523191289966,0.1537766452106349,500,0.006877100640856941,0.634573201872917,0.6615314363850763
19,Route A,0.6537980311592115,0.152234249191565,500,0.006808122593919635,0.640454110875129,0.667141951443294
20,Route A,0.6517517995344634,0.1548356806371943,500,0.006924462144944288,0.6381798537303726,0.6653237453385542
21,Route A,0.6539521957211347,0.15095129511894181,500,0.006750747143551721,0.6407207313197734,0.6671836601224961
22,Route A,0.6513177033253557,0.14689037672027275,500,0.006569137351741649,0.638442194115942,0.6641932125347693
23,Route A,0.658607835555114,0.1478539276721036,500,0.006612228660303217,0.6456478673809197,0.6715678037293084
24,Route A,0.6637415646219128,0.14728716797444483,500,0.006586882396085772,0.6508312751255847,0.6766518541182409
25,Route A,0.6649448258434489,0.144411162413969,500,0.006458263517347946,0.6522866293494469,0.677603022337451
26,Route A,0.6658259849645114,0.14615836381883315,500,0.006536400739581134,0.6530146395149323,0.6786373304140905
27,Route A,0.671286521894148,0.1472623939455931,500,0.006585774467833992,0.6583784039371934,0.6841946398511025
28,Route A,0.6711571476103242,0.14613437426807693,500,0.006535327894256321,0.6583479049375818,0.6839663902830666
29,Route A,0.6692043950632235,0.14694804864171965,500,0.006571716518476615,0.6563238306870093,0.6820849594394377
30,Route A,0.6774478634519445,0.14034186488014508,500,0.006276278999221895,0.6651463566134697,0.6897493702904194
31,Route A,0.6740987182737058,0.1388400072988197,500,0.006209113886334556,0.6619288550564901,0.6862685814909215
32,Route A,0.6746013972272764,0.1440903608590031,500,0.006443916835664118,0.6619713202293748,0.687231474225178
33,Route A,0.6749130108714506,0.14219227583295738,500,0.006359031892757864,0.6624493083616452,0.687376713381256
34,Route A,0.6733312338993596,0.14386596267990712,500,0.006433881444014402,0.6607208262690913,0.6859416415296278
35,Route A,0.6775859271689356,0.14308531178269787,500,0.006398969674557281,0.6650439466068033,0.6901279077310679
36,Route A,0.6752747909397031,0.1453119202837776,500,0.006498546633911144,0.6625376395372372,0.688011942342169
37,Route A,0.6688627291242066,0.14205532766065093,500,0.0063529073843044325,0.65641103065097,0.6813144275974433
38,Route A,0.6703506034452189,0.1409688826226358,500,0.006304320085128049,0.6579941360783679,0.6827070708120699
39,Route A,0.6716921014802074,0.13284749584334937,500,0.005941120626926998,0.6600475050514305,0.6833366979089843
40,Route A,0.6722584086801546,0.13685838370674,500,0.006120492985180405,0.6602622424292011,0.6842545749311082
41,Route A,0.6730832783951154,0.1365927769890888,500,0.006108614691661432,0.661110393599459,0.6850561631907718
42,Route A,0.6741978119181096,0.1413631708073163,500,0.006321953188801461,0.6618067836680587,0.6865888401681605
43,Route A,0.6760255509070676,0.1437774096220932,500,0.0064299212308766545,0.6634229052945494,0.6886281965195858
44,Route A,0.6708502108304318,0.14588784938191762,500,0.0065243029661843695,0.6580625770167104,0.6836378446441532
45,Route A,0.672169063391231,0.14710634260661432,500,0.006578795639795264,0.6592746239372322,0.6850635028452297
46,Route A,0.6682798343036356,0.14241881273070117,500,0.006369162930813205,0.6557962749592416,0.6807633936480295
47,Route A,0.6692133589678881,0.14407024654620745,500,0.006443017296249483,0.6565850450672391,0.6818416728685371
48,Route A,0.6725244458168104,0.14131634284480823,500,0.006319858978653144,0.6601375222186502,0.6849113694149706
49,Route A,0.6753283773985485,0.14206889114331228,500,0.006353513961689281,0.6628754900336374,0.6877812647634595
50,Route A,0.6777580902560434,0.145029717581634,500,0.0064859261454026,0.6650456750110543,0.6904705055010325
51,Route A,0.6771122747635774,0.14384117188698226,500,0.00643277276605048,0.6645040401421184,0.6897205093850364
52,Route A,0.6766994920951475,0.1392292778943343,500,0.006226522596598806,0.6644955078058138,0.6889034763844811
53,Route A,0.6837989824685872,0.14074071416488154,500,0.006294116081490853,0.6714625149488651,0.6961354499883092
54,Route A,0.6841674342604673,0.1401662317340116,500,0.006268424446144763,0.6718813223460236,0.6964535461749111
55,Route A,0.6816671096439758,0.14008554120709665,500,0.006264815856078321,0.6693880705660623,0.6939461487218893
56,Route A,0.6786525150442222,0.1390459338184331,500,0.006218323200259067,0.6664646015717144,0.69084042851673
57,Route A,0.6846947254559096,0.13862316280529852,500,0.006199416305773358,0.6725438694965938,0.6968455814152253
58,Route A,0.6832453744082776,0.13613259457528185,500,0.006088034708474986,0.6713128263796666,0.6951779224368886
59,Route A,0.6824411473160057,0.13713097034871718,500,0.006132683430404793,0.6704210877924123,0.6944612068395991
60,Route A,0.6833740107047857,0.13915572369790952,500,0.006223233152934081,0.6711764737250349,0.6955715476845364
61,Route A,0.6800282599326148,0.13892418333218462,500,0.006212878352988161,0.667851018360758,0.6922055015044717
62,Route A,0.6808833149887703,0.14250373089007204,500,0.006372960586350753,0.6683923122395228,0.6933743177380178
63,Route A,0.6801536245438927,0.14149780048139465,500,0.006327974010862018,0.6677507954826032,0.6925564536051823
