alpha,beta,negative_log_likelihood
0.05,0.05,208.88607311574128
0.05,0.06,206.9158289299577
0.05,0.07,205.01199020282436
0.05,0.08,203.1747605040978
0.05,0.09,201.4042863336279
0.05,0.1,199.700655912304
0.05,0.11,198.06389823184998
0.05,0.12,196.49398237490325
0.05,0.13,194.99081711388394
0.05,0.14,193.55425079405
0.05,0.15,192.18407150295062
0.05,0.16,190.88000752524542
0.05,0.17,189.64172807867197
0.05,0.18,188.46884432382788
0.05,0.19,187.3609106375042
0.05,0.2,186.31742613657678
0.05,0.21,185.33783643698968
0.05,0.22,184.42153563021478
0.05,0.23,183.56786845773442
0.05,0.24,182.77613266262685
0.05,0.25,182.04558149621872
0.05,0.26,181.37542635703778
0.05,0.27,180.76483953890602
0.05,0.28,180.21295706498495
0.05,0.29,179.71888158486368
0.05,0.3,179.2816853123629
0.05,0.31,178.9004129825595
0.05,0.32,178.57408480761603
0.05,0.33,178.30169941224034
0.05,0.34,178.08223673101804
0.05,0.35,177.91466085137853
0.05,0.36,177.79792278756128
0.05,0.37,177.7309631725894
0.05,0.38,177.71271485693427
0.05,0.39,177.7421054041931
0.05,0.4,177.81805947572855
0.05,0.41,177.93950109777617
0.05,0.42,178.10535580601154
0.05,0.43,178.3145526639712
0.05,0.44,178.5660261530271
0.05,0.45,178.85871793281092
0.05,0.46,179.191578472077
0.05,0.47,179.56356855097863
0.05,0.48,179.97366063659345
0.05,0.49,180.42084013430403
0.05,0.5,180.9041065182925
0.05,0.51,181.4224743449628
0.05,0.52,181.97497415356818
0.05,0.53,182.56065325869022
0.05,0.54,183.17857643950416
0.05,0.55,183.8278265309806
0.05,0.56,184.50750492231793
0.05,0.57,185.21673196798244
0.05,0.58,185.95464731676068
0.05,0.59,186.72041016421045
0.05,0.6,187.51319943383544
0.05,0.61,188.3322138922107
0.05,0.62,189.176672203156
0.05,0.63,190.04581292590836
0.05,0.64,190.9388944620625
0.05,0.65,191.8551949558686
0.05,0.66,192.7940121522658
0.05,0.67,193.75466321682887
0.05,0.68,194.73648452158125
0.05,0.69,195.73883140041627
0.05,0.7,196.76107787764107
0.05,0.71,197.80261637294788
0.05,0.72,198.86285738589402
0.05,0.73,199.94122916276748
0.05,0.74,201.03717734850557
0.05,0.75,202.1501646261395
0.05,0.76,203.27967034604035
0.05,0.77,204.42519014706863
0.05,0.78,205.58623557154127
0.05,0.79,206.76233367577962
0.05,0.8,207.95302663782638
0.05,0.81,209.1578713637872
0.05,0.82,210.37643909410394
0.05,0.83,211.60831501093202
0.05,0.84,212.85309784768344
0.05,0.85,214.11039950166887
0.05,0.86,215.37984465067512
0.05,0.87,216.66107037421185
0.05,0.88,217.95372578006675
0.05,0.89,219.25747163673265
0.05,0.9,220.5719800121826
0.05,0.91,221.89693391940435
0.05,0.92,223.2320269690338
0.05,0.93,224.5769630293781
0.05,0.94,225.9314558940511
0.05,0.95,227.29522895740513
0.05,0.96,228.6680148978955
0.05,0.97,230.04955536946622
0.05,0.98,231.43960070102608
0.05,0.99,232.8379096040303
0.05,1.0,234.24424888817487
0.06,0.05,206.95206935702842
0.06,0.06,204.6138652682025
0.06,0.07,202.34856093594263
0.06,0.08,200.15642579809017
0.06,0.09,198.03765851082497
0.06,0.1,195.9923854645119
0.06,0.11,194.02065966311184
0.06,0.12,192.1224599813654
0.06,0.13,190.29769080934838
0.06,0.14,188.54618208920056
0.06,0.15,186.867689743938
0.06,0.16,185.2618964933834
0.06,0.17,183.7284130475224
0.06,0.18,182.26677966308105
0.06,0.19,180.87646804496487
0.06,0.2,179.5568835704336
0.06,0.21,178.30736781062268
0.06,0.22,177.12720132127728
0.06,0.23,176.01560667240008
0.06,0.24,174.9717516849255
0.06,0.25,173.99475284153078
0.06,0.26,173.0836788382676
0.06,0.27,172.23755424380334
0.06,0.28,171.45536323366701
0.06,0.29,170.7360533679565
0.06,0.3,170.07853938240999
0.06,0.31,169.48170696452456
0.06,0.32,168.94441648845435
0.06,0.33,168.46550668467566
0.06,0.34,168.04379822279927
0.06,0.35,167.67809718840263
0.06,0.36,167.36719843726522
0.06,0.37,167.10988881290044
0.06,0.38,166.90495021572846
0.06,0.39,166.75116251458894
0.06,0.4,166.64730629354415
0.06,0.41,166.59216542901794
0.06,0.42,166.5845294942624
0.06,0.43,166.62319598992116
0.06,0.44,166.7069724010573
0.06,0.45,166.83467808243432
0.06,0.46,167.00514597509076
0.06,0.47,167.21722415831735
0.06,0.48,167.46977724205783
0.06,0.49,167.76168760551158
0.06,0.5,168.09185648831047
0.06,0.51,168.45920494113102
0.06,0.52,168.8626746429357
0.06,0.53,169.30122859228183
0.06,0.54,169.7738516802711
0.06,0.55,170.27955115276094
0.06,0.56,170.81735696942877
0.06,0.57,171.3863220671949
0.06,0.58,171.98552253534314
0.06,0.59,172.61405770950165
0.06,0.6,173.27105019139367
0.06,0.61,173.95564580101632
0.06,0.62,174.66701346760706
0.06,0.63,175.40434506545932
0.06,0.64,176.16685520032692
0.06,0.65,176.9537809518386
0.06,0.66,177.76438157700966
0.06,0.67,178.5979381796242
0.06,0.68,179.45375334992593
0.06,0.69,180.33115077875794
0.06,0.7,181.22947484996763
0.06,0.71,182.1480902146159
0.06,0.72,183.0863813502282
0.06,0.73,184.04375210806666
0.06,0.74,185.01962525113657
0.06,0.75,186.0134419853965
0.06,0.76,187.02466148641273
0.06,0.77,188.05276042347555
0.06,0.78,189.09723248299966
0.06,0.79,190.15758789283007
0.06,0.8,191.23335294890336
0.06,0.81,192.32406954555253
0.06,0.82,193.42929471058315
0.06,0.83,194.54860014611234
0.06,0.84,195.6815717760362
0.06,0.85,196.82780930086494
0.06,0.86,197.98692576055956
0.06,0.87,199.15854710590995
0.06,0.88,200.34231177889356
0.06,0.89,201.5378703023803
0.06,0.9,202.7448848794726
0.06,0.91,203.96302900270013
0.06,0.92,205.19198707323287
0.06,0.93,206.43145403021828
0.06,0.94,207.68113499030355
0.06,0.95,208.94074489735945
0.06,0.96,210.21000818237968
0.06,0.97,211.4886584335106
0.06,0.98,212.77643807611665
0.06,0.99,214.07309806277718
0.06,1.0,215.37839757308228
0.07,0.05,205.220894266948
0.07,0.06,202.55587274606026
0.07,0.07,199.97048337053764
0.07,0.08,197.46507980504654
0.07,0.09,195.03993052180675
0.07,0.1,192.69521703083402
0.07,0.11,190.431032590576
0.07,0.12,188.2473814155315
0.07,0.13,186.14417839079118
0.07,0.14,184.12124929658088
0.07,0.15,182.17833153898286
0.07,0.16,180.31507537623867
0.07,0.17,178.5310456235535
0.07,0.18,176.82572381329638
0.07,0.19,175.1985107820212
0.07,0.2,173.64872965098183
0.07,0.21,172.1756291628135
0.07,0.22,170.77838733389495
0.07,0.23,169.45611537961096
0.07,0.24,168.2078618682911
0.07,0.25,167.0326170590117
0.07,0.26,165.9293173786409
0.07,0.27,164.89684999443315
0.07,0.28,163.9340574400608
0.07,0.29,163.0397422551054
0.07,0.3,162.21267160064454
0.07,0.31,161.45158181653298
0.07,0.32,160.75518288923791
0.07,0.33,160.12216280249731
0.07,0.34,159.55119174659978
0.07,0.35,159.04092616561093
0.07,0.36,158.5900126253499
0.07,0.37,158.1970914882851
0.07,0.38,157.86080038472318
0.07,0.39,157.57977747267216
0.07,0.4,157.35266448153547
0.07,0.41,157.1781095373312
0.07,0.42,157.0547697694007
0.07,0.43,156.98131370059272
0.07,0.44,156.95642342465132
0.07,0.45,156.97879657605156
0.07,0.46,157.0471480987752
0.07,0.47,157.16021182155507
0.07,0.48,157.31674184793243
0.07,0.49,157.5155137701034
0.07,0.5,157.75532571596986
0.07,0.51,158.03499923910516
0.07,0.52,158.35338006150045
0.07,0.53,158.7093386789799
0.07,0.54,159.1017708391073
0.07,0.55,159.52959790123552
0.07,0.56,159.99176708812408
0.07,0.57,160.48725163824764
0.07,0.58,161.01505086757885
0.07,0.59,161.57419014924858
0.07,0.6,162.16372081907983
0.07,0.61,162.78272001457213
0.07,0.62,163.43029045447102
0.07,0.63,164.1055601656278
0.07,0.64,164.80768216340974
0.07,0.65,165.5358340914926
0.07,0.66,166.28921782644466
0.07,0.67,167.06705905210256
0.07,0.68,167.86860680833954
0.07,0.69,168.6931330184538
0.07,0.7,169.53993199903917
0.07,0.71,170.40831995585708
0.07,0.72,171.29763446891164
0.07,0.73,172.20723396961495
0.07,0.74,173.13649721265574
0.07,0.75,174.0848227449083
0.07,0.76,175.05162837347964
0.07,0.77,176.03635063475573
0.07,0.78,177.03844426610155
0.07,0.79,178.0573816816695
0.07,0.8,179.09265245359276
0.07,0.81,180.1437627996733
0.07,0.82,181.21023507852902
0.07,0.83,182.29160729301736
0.07,0.84,183.38743260263593
0.07,0.85,184.4972788454861
0.07,0.86,185.62072807027502
0.07,0.87,186.7573760787513
0.07,0.88,187.90683197887708
0.07,0.89,189.06871774896578
0.07,0.9,190.24266781295358
0.07,0.91,191.42832862690562
0.07,0.92,192.62535827681086
0.07,0.93,193.8334260876704
0.07,0.94,195.05221224384246
0.07,0.95,196.2814074205741
0.07,0.96,197.52071242661162
0.07,0.97,198.7698378577672
0.07,0.98,200.0285037612802
0.07,0.99,201.29643931080048
0.07,1.0,202.57338249180964
0.08,0.05,203.6693531376188
0.08,0.06,200.71468255906666
0.08,0.07,197.84681103208024
0.08,0.08,195.06618291679422
0.08,0.09,192.37314167831158
0.08,0.1,189.7679278010067
0.08,0.11,187.2506773159099
0.08,0.12,184.82142095999595
0.08,0.13,182.48008397705428
0.08,0.14,180.22648656047508
0.08,0.15,178.06034492899335
0.08,0.16,175.9812730174366
0.08,0.17,173.9887847560553
0.08,0.18,172.08229690429084
0.08,0.19,170.26113239801495
0.08,0.2,168.52452416351375
0.08,0.21,166.8716193468735
0.08,0.22,165.3014839040081
0.08,0.23,163.81310749437137
0.08,0.24,162.40540862038358
0.08,0.25,161.077239954709
0.08,0.26,159.82739379867724
0.08,0.27,158.6546076171939
0.08,0.28,157.55756959835236
0.08,0.29,156.53492418945802
0.08,0.3,155.58527756518995
0.08,0.31,154.7072029880064
0.08,0.32,153.8992460254998
0.08,0.33,153.15992959413524
0.08,0.34,152.48775880350945
0.08,0.35,151.88122557988103
0.08,0.36,151.33881305215627
0.08,0.37,150.85899968769797
0.08,0.38,150.4402631692127
