trial,choice,travel_time,reward,prediction_error,P_A,P_B,P_C,Q_A,Q_B,Q_C
1,C,24.880047681278512,-24.880047681278512,0.11995231872148793,0.3333333333333333,0.3333333333333333,0.3333333333333333,-25.0,-25.0,-24.964014304383554
2,C,30.82169414917364,-30.82169414917364,-5.857679844790088,0.33213165966393865,0.33213165966393865,0.33573668067212264,-25.0,-25.0,-26.72131825782058
3,A,13.48910246568841,-13.48910246568841,11.51089753431159,0.38510900881463106,0.38510900881463106,0.22978198237073796,-21.546730739706522,-25.0,-26.72131825782058
4,B,23.367514815312834,-23.367514815312834,1.632485184687166,0.638315920115082,0.22652437506036255,0.13515970482455547,-21.546730739706522,-24.51025444459385,-26.72131825782058
5,A,15.7347803621321,-15.7347803621321,5.811950377574423,0.6162236825606157,0.25329451616177057,0.13048180127761388,-19.803145626434194,-24.51025444459385,-26.72131825782058
6,A,23.88895967714474,-23.88895967714474,-4.085814050710546,0.7303946293237132,0.17794105268324917,0.0916643179930376,-21.02888984164736,-24.51025444459385,-26.72131825782058
7,A,25.636206034840164,-25.636206034840164,-4.607316193192805,0.6522405457830945,0.22952318497470905,0.1182362692421965,-22.4110846996052,-24.51025444459385,-26.72131825782058
8,A,15.70353768558381,-15.70353768558381,6.707547014021392,0.5533570517640155,0.29478684413185324,0.15185610410413133,-20.398820595398785,-24.51025444459385,-26.72131825782058
9,A,15.205586995855006,-15.205586995855006,5.193233599543779,0.6937953123389665,0.20209680661136098,0.10410788104967254,-18.840850515535653,-24.51025444459385,-26.72131825782058
10,B,23.900148178027493,-23.900148178027493,0.6101062665663584,0.7833530146034395,0.14298822217604734,0.07365876322051321,-18.840850515535653,-24.327222564623945,-26.72131825782058
11,A,16.595352277980293,-16.595352277980293,2.24549823755536,0.7770812075911134,0.1498497678363054,0.07306902457258121,-18.167201044269046,-24.327222564623945,-26.72131825782058
12,C,27.536411553793595,-27.536411553793595,-0.8150932959730142,0.8101264704143373,0.12763618544318459,0.0622373441424781,-18.167201044269046,-24.327222564623945,-26.965846246612486
13,A,18.239332247558853,-18.239332247558853,-0.07213120328980693,0.813708569334805,0.1282005484886913,0.058090882176503614,-18.188840405255988,-24.327222564623945,-26.965846246612486
14,A,21.82722032182039,-21.82722032182039,-3.6383799165644035,0.8127224913019252,0.12887913979166454,0.05839836890641017,-19.280354380225308,-24.327222564623945,-26.965846246612486
15,A,22.154105015039413,-22.154105015039413,-2.8737506348141046,0.75774279206002,0.166714629987792,0.07554257795218797,-20.14247957066954,-24.327222564623945,-26.965846246612486
16,B,23.18716996723077,-23.18716996723077,1.1400525973931757,0.7071757129576031,0.20151347850837545,0.09131080853402147,-20.14247957066954,-23.985206785405992,-26.965846246612486
17,A,15.931136358760611,-15.931136358760611,4.211343211908929,0.6921056619063588,0.2185293805283741,0.08936495756526713,-18.879076607096863,-23.985206785405992,-26.965846246612486
18,A,25.644861463604457,-25.644861463604457,-6.765784856507594,0.7665626786841576,0.1656831805846305,0.06775414073121182,-20.90881206404914,-23.985206785405992,-26.965846246612486
19,A,15.79921761518736,-15.79921761518736,5.109594448861781,0.6410863250710757,0.25474058253557696,0.10417309239334732,-19.375933729390606,-23.985206785405992,-26.965846246612486
20,A,23.252963939123504,-23.252963939123504,-3.8770302097328972,0.7388395327755829,0.18535980711569727,0.07580066010871987,-20.539042792310475,-23.985206785405992,-26.965846246612486
21,A,22.715771341525976,-22.715771341525976,-2.1767285492155004,0.6661922362151784,0.23692155005875187,0.09688621372606974,-21.192061357075126,-23.985206785405992,-26.965846246612486
22,B,24.46432264613344,-24.46432264613344,-0.47911586072744683,0.6213088727275828,0.2687777175989002,0.10991340967351698,-21.192061357075126,-24.128941543624226,-26.965846246612486
23,A,21.093442983645065,-21.093442983645065,0.0986183734300603,0.6284375442916754,0.2603879396311403,0.11117451607718427,-21.162475845046107,-24.128941543624226,-26.965846246612486
24,B,24.447191097549364,-24.447191097549364,-0.31824955392513843,0.6305076696472992,0.25893721265954284,0.11055511769315797,-21.162475845046107,-24.22441640980177,-26.965846246612486
25,A,20.33789534744446,-20.33789534744446,0.824580497601648,0.6351515105371254,0.2534791066927981,0.11136938277007642,-20.915101695765614,-24.22441640980177,-26.965846246612486
26,B,25.26257645167708,-25.26257645167708,-1.0381600418753116,0.6521705069914246,0.2416551300486995,0.10617436295987574,-20.915101695765614,-24.535864422364362,-26.965846246612486
27,B,23.360657567285397,-23.360657567285397,1.1752068550789652,0.6665385307500923,0.2249479698936217,0.10851349935628589,-20.915101695765614,-24.183302365840674,-26.965846246612486
28,A,16.805610758783292,-16.805610758783292,4.109490936982322,0.6502204415687511,0.24392266912552166,0.10585688930572726,-19.68225441467092,-24.183302365840674,-26.965846246612486
29,A,27.47470655617198,-27.47470655617198,-7.792452141501062,0.7290607641697702,0.18894249243993164,0.08199674339029836,-22.019990057121237,-24.183302365840674,-26.965846246612486
30,B,25.936556709182963,-25.936556709182963,-1.753254343342288,0.5716391076479803,0.29872223717165103,0.12963865518036868,-22.019990057121237,-24.70927866884336,-26.965846246612486
31,A,18.325574850071124,-18.325574850071124,3.6944152070501133,0.5977022042818531,0.2667484448693988,0.1355493508487482,-20.911665495006204,-24.70927866884336,-26.965846246612486
32,A,22.93111165679639,-22.93111165679639,-2.019446161790185,0.6744534973496557,0.21585756680479318,0.1096889358455511,-21.51749934354326,-24.70927866884336,-26.965846246612486
33,A,23.966736175999625,-23.966736175999625,-2.4492368324563643,0.6333573800135602,0.24310684707988095,0.12353577290655875,-22.25227039328017,-24.70927866884336,-26.965846246612486
34,A,17.688241036677166,-17.688241036677166,4.564029356603005,0.5808383736825095,0.27793021279056207,0.14123141352692847,-20.88306158629927,-24.70927866884336,-26.965846246612486
35,A,19.043478375591924,-19.043478375591924,1.839583210707346,0.6763348030120233,0.21461014421112787,0.10905505277684874,-20.331186623087067,-24.70927866884336,-26.965846246612486
36,B,21.73342557199304,-21.73342557199304,2.9758530968503223,0.7114714141153268,0.1913123870035454,0.09721619888112795,-20.331186623087067,-23.816522739788265,-26.965846246612486
37,A,22.48580372026882,-22.48580372026882,-2.1546170971817524,0.6719880861080789,0.23619075828574235,0.09182115560617886,-20.977571752241595,-23.816522739788265,-26.965846246612486
38,A,23.452426770338842,-23.452426770338842,-2.474855018097248,0.6279132845961124,0.26792759572828406,0.1041591196756034,-21.72002825767077,-23.816522739788265,-26.965846246612486
39,A,20.792698455383572,-20.792698455383572,0.927329802287197,0.5745740766589156,0.30633543225948545,0.11909049108159889,-21.44182931698461,-23.816522739788265,-26.965846246612486
40,B,23.381306920559524,-23.381306920559524,0.4352158192287412,0.5948369781802347,0.29174477297944895,0.1134182488403162,-21.44182931698461,-23.685957994019642,-26.965846246612486
41,B,22.6761481178667,-22.6761481178667,1.0098098761529428,0.5879844722799111,0.29990385403883596,0.1121116736812528,-21.44182931698461,-23.38301503117376,-26.965846246612486
42,A,18.091310530008354,-18.091310530008354,3.350518786976256,0.5716728863828887,0.3193255887263866,0.10900152489072465,-20.436673680891733,-23.38301503117376,-26.965846246612486
43,B,24.973944961571164,-24.973944961571164,-1.5909299303974045,0.643417103036652,0.2658389811959659,0.09074391576738221,-20.436673680891733,-23.860294010292982,-26.965846246612486
44,A,20.062470593638437,-20.062470593638437,0.37420308725329576,0.6670744202934046,0.23884516947194276,0.0940804102346527,-20.324412754715745,-23.860294010292982,-26.965846246612486
45,A,22.23265588014972,-22.23265588014972,-1.9082431254339767,0.6745113500836526,0.2335098186777257,0.09197883123862162,-20.896885692345936,-23.860294010292982,-26.965846246612486
46,A,19.507572577452883,-19.507572577452883,1.3893131148930529,0.6357393640758334,0.2613253490342773,0.10293528688988911,-20.48009175787802,-23.860294010292982,-26.965846246612486
47,A,19.601408945468005,-19.601408945468005,0.8786828124100161,0.6641753864479456,0.24092497430620569,0.09489963924584882,-20.216486914155016,-23.860294010292982,-26.965846246612486
48,A,12.764437637884564,-12.764437637884564,7.452049276270452,0.6815791964359659,0.22843925317384456,0.08998155039018957,-17.98087213127388,-23.860294010292982,-26.965846246612486
49,A,15.01376586199259,-15.01376586199259,2.96710626928129,0.8071696525161685,0.13833901577853716,0.05449133170529433,-17.090740250489493,-23.860294010292982,-26.965846246612486
50,B,22.189041889279878,-22.189041889279878,1.6712521210131044,0.8453730624692584,0.1109313893273243,0.043695548203417284,-17.090740250489493,-23.358918373989052,-26.965846246612486
51,A,26.496141488930327,-26.496141488930327,-9.405401238440835,0.8304207574550783,0.12665654740899046,0.042922695135931395,-19.912360622021744,-23.358918373989052,-26.965846246612486
52,B,25.475031136934174,-25.475031136934174,-2.1161127629451215,0.6774605946678286,0.2409005186581138,0.08163888667405758,-19.912360622021744,-23.99375220287259,-26.965846246612486
53,A,18.97281221066185,-18.97281221066185,0.939548411359894,0.7069955386897571,0.20780640091167804,0.08519806039856491,-19.630496098613776,-23.99375220287259,-26.965846246612486
54,A,18.30483462049719,-18.30483462049719,1.3256614781165865,0.724200847973891,0.19560394712336374,0.08019520490274522,-19.2327976551788,-23.99375220287259,-26.965846246612486
55,A,11.363397884038257,-11.363397884038257,7.869399771140543,0.7473834053515164,0.17916227319447475,0.07345432145400889,-16.871977723836636,-23.99375220287259,-26.965846246612486
56,A,21.188678011661388,-21.188678011661388,-4.316700287824752,0.8572887444956089,0.1012145420699015,0.041496713434489574,-18.16698781018406,-23.99375220287259,-26.965846246612486
57,A,12.769710728057728,-12.769710728057728,5.397277082126333,0.8028888279872142,0.13979638075233558,0.057314791260450235,-16.54780468554616,-23.99375220287259,-26.965846246612486
58,A,17.352536454680987,-17.352536454680987,-0.8047317691348255,0.8687787091195521,0.09306555968094066,0.03815573119950726,-16.78922421628661,-23.99375220287259,-26.965846246612486
59,A,20.109260727617215,-20.109260727617215,-3.3200365113306063,0.8602992239488723,0.09907943157566636,0.040621344475461355,-17.78523516968579,-23.99375220287259,-26.965846246612486
60,A,18.803221862634878,-18.803221862634878,-1.017986692949087,0.8203873701986479,0.12738595852907497,0.052226671272276995,-18.09063117757052,-23.99375220287259,-26.965846246612486
61,A,20.89637817478158,-20.89637817478158,-2.805746997211063,0.8064889147741638,0.1372431053693592,0.056267979856476955,-18.932355276733837,-23.99375220287259,-26.965846246612486
62,A,26.79593787620218,-26.79593787620218,-7.863582599468344,0.7640184157373392,0.16736429024927313,0.06861729401338765,-21.29143005657434,-23.99375220287259,-26.965846246612486
63,A,21.784355295747545,-21.784355295747545,-0.4929252391732035,0.6147008521203858,0.27326419822127124,0.11203494965834293,-21.439307628326304,-23.99375220287259,-26.965846246612486
64,A,14.056184728385745,-14.056184728385745,7.38312289994056,0.6041416914951573,0.28075303015360725,0.11510527835123552,-19.224370758344136,-23.99375220287259,-26.965846246612486
65,A,15.367120292972375,-15.367120292972375,3.857250465371761,0.7478604098820498,0.17882396914864063,0.07331562096930966,-18.067195618732608,-23.99375220287259,-26.965846246612486
66,A,13.116569262218455,-13.116569262218455,4.950626356514153,0.8075837889544366,0.1364665920636021,0.05594961898196135,-16.582007711778363,-23.99375220287259,-26.965846246612486
67,A,18.888886514506133,-18.888886514506133,-2.30687880272777,0.8676045095206283,0.09389833264116502,0.038497157838206626,-17.274071352596692,-23.99375220287259,-26.965846246612486
68,C,24.953262756377374,-24.953262756377374,2.0125834902351123,0.8418853317644219,0.11213904385772874,0.0459756243778494,-17.274071352596692,-23.99375220287259,-26.36207119954195
69,A,24.190632839471906,-24.190632839471906,-6.916561486875214,0.8342688215934716,0.11112452544782488,0.05460665295870351,-19.349039798659255,-23.99375220287259,-26.36207119954195
70,A,34.569312330036645,-34.569312330036645,-15.22027253137739,0.729817742505668,0.18116008971367437,0.08902216778065755,-23.91512155807247,-23.99375220287259,-26.36207119954195
71,C,25.031385639904407,-25.031385639904407,1.3306855596375442,0.4070614884896908,0.3975716056860381,0.19536690582427102,-23.91512155807247,-23.99375220287259,-25.96286553165069
72,B,24.535422924687673,-24.535422924687673,-0.541670721815084,0.39718888992330287,0.38792916842454334,0.21488194165215385,-23.91512155807247,-24.156253419417112,-25.96286553165069
73,A,17.923213699101574,-17.923213699101574,5.991907858970897,0.40465811521392514,0.37641904049589353,0.21892284429018133,-22.1175492003812,-24.156253419417112,-25.96286553165069
74,A,19.296045567918075,-19.296045567918075,2.821503632463127,0.5382199030246866,0.29197142930067516,0.1698086676746383,-21.271098110642264,-24.156253419417112,-25.96286553165069
75,B,24.31409713489069,-24.31409713489069,-0.15784371547357878,0.6003956082769861,0.25265936355943147,0.14694502816358238,-21.271098110642264,-24.203606534059187,-25.96286553165069
76,A,14.821731235870942,-14.821731235870942,6.4493668747713215,0.6025430041954056,0.2499863989170567,0.14747059688753772,-19.336288048210868,-24.203606534059187,-25.96286553165069
77,A,17.568460454633346,-17.568460454633346,1.7678275935775218,0.7303728968210721,0.16958591567293965,0.10004118750598827,-18.805939770137613,-24.203606534059187,-25.96286553165069
78,A,21.403433834757127,-21.403433834757127,-2.5974940646195144,0.7605358987741564,0.15061445380820293,0.08884964741764068,-19.58518798952347,-24.203606534059187,-25.96286553165069
79,B,24.260549042945772,-24.260549042945772,-0.056942508886585586,0.7154179559339862,0.17899204478336564,0.10558999928264817,-19.58518798952347,-24.22068928672516,-25.96286553165069
80,A,17.50352200730424,-17.50352200730424,2.081665982219228,0.7160731317362008,0.17824017024454253,0.10568669801925668,-18.9606881948577,-24.22068928672516,-25.96286553165069
81,A,15.17441618883814,-15.17441618883814,3.7862720060195585,0.7525791685496478,0.15532285263958528,0.09209797881076685,-17.824806593051832,-24.22068928672516,-25.96286553165069
82,A,30.642348662175824,-30.642348662175824,-12.817542069123991,0.8104873599228332,0.11896994968247515,0.07054269039469176,-21.67006921378903,-24.22068928672516,-25.96286553165069
83,B,25.67697840747269,-25.67697840747269,-1.4562891207475275,0.5743450324696703,0.26721251969556736,0.1584424478347624,-21.67006921378903,-24.65757602294942,-25.96286553165069
84,A,24.657865064371222,-24.657865064371222,-2.9877958505821915,0.5938374025002425,0.2423428613676371,0.1638197361321204,-22.566407968963688,-24.65757602294942,-25.96286553165069
85,A,19.216810511709546,-19.216810511709546,3.3495974572541414,0.5277091699557482,0.2817992396522644,0.19049159039198738,-21.561528731787444,-24.65757602294942,-25.96286553165069
86,A,16.726061522853048,-16.726061522853048,4.835467208934396,0.6016665998110742,0.23767145614667784,0.16066194404224804,-20.110888569107125,-24.65757602294942,-25.96286553165069
